Date,Open,High,Low,Close,Adj Close,Volume
2022-05-16,47.000000,49.099998,46.049999,48.650002,48.341602,27593828
2022-05-17,49.900002,50.150002,48.700001,49.950001,49.633362,22875497
2022-05-18,49.799999,50.349998,49.400002,49.799999,49.484310,20804686
2022-05-19,48.500000,50.099998,48.000000,49.349998,49.037163,24918767
2022-05-20,50.000000,53.500000,50.000000,53.099998,52.763390,52063254
2022-05-23,55.200001,55.799999,50.849998,51.099998,50.776070,62079730
2022-05-24,51.400002,51.500000,50.049999,50.400002,50.080509,23518464
2022-05-25,50.750000,50.799999,48.900002,49.299999,48.987480,20752902
2022-05-26,49.450001,50.500000,47.700001,50.200001,49.881775,31516573
2022-05-27,50.500000,51.349998,50.150002,51.150002,50.825756,22624272
2022-05-30,51.799999,52.049999,51.299999,51.599998,51.272900,15618484
2022-05-31,51.450001,52.150002,51.000000,51.200001,50.875439,13815189
2022-06-01,51.500000,52.400002,51.200001,51.700001,51.372269,19031052
2022-06-02,51.650002,52.400002,51.450001,52.200001,51.869099,14396611
2022-06-03,52.549999,52.700001,50.450001,50.599998,50.279240,16818510
2022-06-06,50.400002,51.200001,49.750000,51.000000,50.676704,13106186
2022-06-07,51.000000,51.349998,50.099998,50.500000,50.179874,12461144
2022-06-08,50.849998,51.299999,50.150002,50.599998,50.279240,13141747
2022-06-09,50.400002,50.900002,50.049999,50.700001,50.378605,10558307
2022-06-10,50.049999,50.500000,49.500000,49.799999,49.484310,12084428
2022-06-13,49.000000,49.200001,47.250000,47.450001,47.149208,17092346
2022-06-14,47.500000,48.549999,47.099998,47.549999,47.248573,14122032
2022-06-15,48.000000,48.099998,47.299999,47.500000,47.198891,10067299
2022-06-16,47.900002,48.200001,45.299999,45.599998,45.310932,18970107
2022-06-17,45.599998,45.799999,44.599998,44.849998,44.565689,19423105
2022-06-20,45.250000,45.349998,41.400002,42.099998,41.833122,29513123
2022-06-21,43.500000,44.950001,42.400002,44.750000,44.466324,22661754
2022-06-22,44.700001,44.700001,43.349998,43.650002,43.373299,15810723
2022-06-23,43.900002,44.750000,43.500000,44.299999,44.019176,18750796
2022-06-24,44.549999,45.750000,44.500000,45.549999,45.261253,14019484
2022-06-27,46.099998,46.650002,45.900002,45.950001,45.658718,12631665
2022-06-28,45.549999,46.450001,45.400002,46.299999,46.006496,10726671
2022-06-29,46.200001,46.450001,45.650002,46.150002,45.857452,12444297
2022-06-30,46.049999,46.650002,44.750000,44.950001,44.665058,12928130
2022-07-01,44.799999,45.799999,44.400002,45.650002,45.360619,11083459
2022-07-04,45.400002,46.099998,45.099998,45.700001,45.410301,8313484
2022-07-05,45.900002,46.349998,45.000000,45.200001,44.913471,10855459
2022-07-06,45.200001,46.099998,44.400002,45.950001,45.658718,13265068
2022-07-07,46.250000,47.150002,46.150002,47.000000,46.702061,12754453
2022-07-08,47.250000,47.400002,46.599998,47.049999,46.751743,9073561
2022-07-11,46.750000,48.200001,46.599998,48.049999,47.745403,15327095
2022-07-12,47.900002,49.700001,47.500000,48.500000,48.192551,26846741
2022-07-13,48.750000,48.950001,48.049999,48.349998,48.043503,11393802
2022-07-14,48.500000,49.500000,48.200001,49.250000,48.937798,17190244
2022-07-15,49.349998,49.700001,48.799999,49.549999,49.235897,14733964
2022-07-18,49.799999,50.700001,49.799999,50.450001,50.130192,15327967
2022-07-19,50.400002,51.650002,50.299999,51.200001,50.875439,17326606
2022-07-20,51.599998,51.700001,50.549999,50.750000,50.428288,12672579
2022-07-21,50.950001,53.950001,50.549999,53.450001,53.111176,31402684
2022-07-22,53.750000,53.950001,52.200001,53.049999,52.713707,23174430
2022-07-25,53.000000,54.000000,52.849998,53.849998,53.508636,22259520
2022-07-26,53.950001,54.000000,51.549999,52.000000,51.670364,19616877
2022-07-27,52.049999,53.150002,52.000000,52.700001,52.365929,14565909
2022-07-28,52.750000,53.500000,52.150002,53.250000,52.912441,15680825
2022-07-29,53.700001,54.750000,53.599998,53.849998,53.508636,19856494
2022-08-01,54.450001,55.200001,53.799999,54.700001,54.353249,22164390
2022-08-02,54.549999,55.450001,54.250000,54.549999,54.204201,19199618
2022-08-03,54.650002,54.799999,52.349998,53.200001,52.862759,21585274
2022-08-04,53.500000,53.849998,52.000000,52.650002,52.316246,29617217
2022-08-05,52.049999,52.750000,51.500000,51.650002,51.322586,18574304
2022-08-08,51.700001,52.549999,51.599998,51.849998,51.521313,17681708
2022-08-10,51.750000,52.950001,51.349998,52.650002,52.316246,15013045
2022-08-11,53.000000,53.500000,52.650002,52.900002,52.564663,12114335
2022-08-12,52.900002,53.500000,52.799999,52.900002,52.564663,10763916
2022-08-16,53.200001,54.099998,52.900002,53.900002,53.558323,13280628
2022-08-17,53.950001,54.250000,53.500000,53.750000,53.409271,11873959
2022-08-18,53.650002,56.549999,53.299999,56.200001,55.843742,51698789
2022-08-19,56.599998,56.700001,53.849998,54.099998,53.757050,24153753
2022-08-22,54.099998,54.099998,52.049999,52.299999,51.968464,15731612
2022-08-23,51.950001,53.200001,51.750000,53.049999,52.713707,14839367
2022-08-24,53.049999,53.500000,52.500000,53.250000,52.912441,13850255
2022-08-25,53.500000,59.200001,53.500000,57.450001,57.085819,123809633
2022-08-26,58.000000,58.750000,57.500000,57.849998,57.483280,35382649
2022-08-29,56.000000,60.700001,55.599998,59.200001,58.824722,64083519
2022-08-30,60.000000,60.099998,58.500000,58.799999,58.427258,24352411
2022-09-01,58.599998,61.000000,58.000000,60.150002,59.768703,33962599
2022-09-02,61.150002,61.349998,59.000000,59.299999,58.924088,35218282
2022-09-05,59.299999,61.349998,59.299999,60.500000,60.116482,29311116
2022-09-06,60.750000,61.700001,60.400002,60.799999,60.414581,29811637
2022-09-07,60.599998,62.650002,60.450001,62.099998,61.706337,40008816
2022-09-08,62.900002,63.700001,62.750000,63.049999,62.650318,46822765
2022-09-09,63.849998,65.099998,63.450001,64.199997,63.793026,58624534
2022-09-12,64.300003,64.500000,63.299999,63.799999,63.395561,20900641
2022-09-13,64.000000,64.449997,63.099998,63.299999,62.898731,16512339
2022-09-14,61.400002,63.599998,61.400002,63.099998,62.700001,21610596
2022-09-15,63.099998,63.250000,61.349998,61.700001,61.700001,19845442
2022-09-16,61.599998,62.099998,58.750000,59.400002,59.400002,27215734
2022-09-19,59.549999,60.299999,59.000000,59.200001,59.200001,14671038
2022-09-20,59.700001,61.000000,59.650002,60.099998,60.099998,14192397
2022-09-21,60.150002,60.500000,58.849998,59.099998,59.099998,13977349
2022-09-22,59.049999,59.950001,58.099998,59.400002,59.400002,16097084
2022-09-23,59.650002,60.150002,57.650002,58.000000,58.000000,20665995
2022-09-26,57.750000,57.750000,54.900002,55.349998,55.349998,23220636
2022-09-27,55.650002,56.250000,54.750000,55.950001,55.950001,16032426
2022-09-28,56.200001,57.549999,55.349998,57.049999,57.049999,29709270
2022-09-29,57.450001,58.750000,57.400002,58.500000,58.500000,22008219
2022-09-30,58.450001,60.349998,58.150002,59.900002,59.900002,19809915
2022-10-03,60.299999,61.799999,59.900002,60.549999,60.549999,33110061
2022-10-04,61.400002,62.400002,61.099998,62.000000,62.000000,19488969
2022-10-06,62.500000,64.150002,62.500000,63.849998,63.849998,33973394
2022-10-07,63.750000,64.199997,62.750000,63.900002,63.900002,16854426
2022-10-10,62.750000,63.700001,62.349998,63.200001,63.200001,16294745
2022-10-11,63.400002,63.700001,60.650002,60.950001,60.950001,19652471
2022-10-12,61.400002,61.900002,60.049999,61.599998,61.599998,15229878
2022-10-13,61.900002,62.349998,60.299999,60.650002,60.650002,13430722
2022-10-14,62.450001,62.900002,61.349998,61.549999,61.549999,21693441
2022-10-17,61.500000,63.150002,60.349998,62.950001,62.950001,20535097
2022-10-18,63.299999,69.199997,62.599998,68.199997,68.199997,139761163
